	ABalaaaala	ABalaaaalp	ABalaaaarl	ABalaaaarr	ABalaaapal	ABalaaapar	ABalaaappl	ABalaaappr	ABalaapaaa	ABalaapaap	ABalaapapa	ABalaapapp	ABalaappaa	ABalaappap	ABalaapppa	ABalaapppp	ABalapaaaa	ABalapaaap	ABalapaapa	ABalapaapp	ABalapapaa	ABalapapap	ABalapappa	ABalapappp	ABalappaaa	ABalappaap	ABalappapa	ABalappapp	ABalapppaa	ABalapppap	ABalappppa	ABalappppp	ABalpaaaaa	ABalpaaaap	ABalpaaapa	ABalpaaapp	ABalpaapaa	ABalpaapap	ABalpaappa	ABalpaappp	ABalpapaaa	ABalpapaap	ABalpapapa	ABalpapapp	ABalpappaa	ABalpappap	ABalpapppa	ABalpapppp	ABalppaaaa	ABalppaaap	ABalppaapa	ABalppaapp	ABalppapaa	ABalppapap	ABalppappa	ABalppappp	ABalpppaaa	ABalpppaap	ABalpppapa	ABalpppapp	ABalppppaa	ABalppppap	ABalpppppa	ABalpppppp	ABaraaaaaa	ABaraaaaap	ABaraaaapa	ABaraaaapp	ABaraaapaa	ABaraaapap	ABaraaappa	ABaraaappp	ABaraapaaa	ABaraapaap	ABaraapapa	ABaraapapp	ABaraappaa	ABaraappap	ABaraapppa	ABaraapppp	ABarapaaaa	ABarapaaap	ABarapaapa	ABarapaapp	ABarapapaa	ABarapapap	ABarapappa	ABarapappp	ABarappaaa	ABarappaap	ABarappapa	ABarappapp	ABarapppaa	ABarapppap	ABarappppa	ABarappppp	ABarpaaaaa	ABarpaaaap	ABarpaaapa	ABarpaaapp	ABarpaapaa	ABarpaapap	ABarpaappa	ABarpaappp	ABarpapaaa	ABarpapaap	ABarpapapa	ABarpapapp	ABarpappaa	ABarpappap	ABarpapppa	ABarpapppp	ABarppaaaa	ABarppaaap	ABarppaapa	ABarppaapp	ABarppapaa	ABarppapap	ABarppappa	ABarppappp	ABarpppaaa	ABarpppaap	ABarpppapa	ABarpppapp	ABarppppaa	ABarppppap	ABarpppppa	ABarpppppp	ABplaaaaaa	ABplaaaaap	ABplaaaapa	ABplaaaapp	ABplaaapaa	ABplaaapap	ABplaaappa	ABplaaappp	ABplaapaaa	ABplaapaap	ABplaapapa	ABplaapapp	ABplaappaa	ABplaappap	ABplaapppa	ABplaapppp	ABplapaaaa	ABplapaaap	ABplapaapa	ABplapaapp	ABplapapaa	ABplapapap	ABplapappa	ABplapappp	ABplappaaa	ABplappaap	ABplappapa	ABplappapp	ABplapppaa	ABplapppap	ABplappppa	ABplappppp	ABplpaaaaa	ABplpaaaap	ABplpaaapa	ABplpaaapp	ABplpaapaa	ABplpaapap	ABplpaappa	ABplpaappp	ABplpapaaa	ABplpapaap	ABplpapapa	ABplpapapp	ABplpappaa	ABplpappap	ABplpapppa	ABplpapppp	ABplppaaaa	ABplppaaap	ABplppaapa	ABplppaapp	ABplppapaa	ABplppapap	ABplppappa	ABplppappp	ABplpppaaa	ABplpppaap	ABplpppapa	ABplpppapp	ABplppppaa	ABplppppap	ABplpppppa	ABplpppppp	ABpraaaaaa	ABpraaaaap	ABpraaaapa	ABpraaaapp	ABpraaapaa	ABpraaapap	ABpraaappa	ABpraaappp	ABpraapaaa	ABpraapaap	ABpraapapa	ABpraapapp	ABpraappaa	ABpraappap	ABpraapppa	ABpraapppp	ABprapaaaa	ABprapaaap	ABprapaapa	ABprapaapp	ABprapapaa	ABprapapap	ABprapappa	ABprapappp	ABprappaaa	ABprappaap	ABprappapa	ABprappapp	ABprapppaa	ABprapppap	ABprappppa	ABprappppp	ABprpaaaaa	ABprpaaaap	ABprpaaapa	ABprpaaapp	ABprpaapaa	ABprpaapap	ABprpaappa	ABprpaappp	ABprpapaaa	ABprpapaap	ABprpapapa	ABprpapapp	ABprpappaa	ABprpappap	ABprpapppa	ABprpapppp	ABprppaaaa	ABprppaaap	ABprppaapa	ABprppaapp	ABprppapaa	ABprppapap	ABprppappa	ABprppappp	ABprpppaaa	ABprpppaap	ABprpppapa	ABprpppapp	ABprppppaa	ABprppppap	ABprpppppa	ABprpppppp	MSaaaaaa	MSaaaaap	MSaaaapa	MSaaaapp	MSaaapaa	MSaaapap	MSaaapp	MSaapaaa	MSaapaap	MSaapapa	MSaapapp	MSaappa	MSaappp	MSapaaaa	MSapaaap	MSapaap	MSapapaa	MSapapap	MSapappa	MSapappp	MSappaaa	MSappaap	MSappap	MSapppaa	MSapppap	MSapppp	MSpaaaaa	MSpaaaap	MSpaaapa	MSpaaapp	MSpaapaa	MSpaapap	MSpaapp	MSpapaaa	MSpapaap	MSpapapa	MSpapapp	MSpappa	MSpappp	MSppaaaa	MSppaaap	MSppaapa	MSppaapp	MSppapaa	MSppapap	MSppappa	MSppappp	MSpppaa	MSpppap	MSppppaa	MSppppap	MSpppppa	MSpppppp	Ealaa	Ealap	Ealpa	Ealpp	Earaa	Earap	Earpa	Earpp	Eplaa	Eplap	Eplpa	Eplpp	Epraa	Eprap	Eprpa	Eprpp	Caaaaa	Caaaap	Caaapa	Caaapp	Caapa	Caappd	Caappv	Capaaa	Capaap	Capapa	Capapp	Cappaa	Cappap	Capppa	Capppp	Cpaaaa	Cpaaap	Cpaapa	Cpaapp	Cpapaa	Cpapap	Cpappd	Cpappv	Cppaaa	Cppaap	Cppapa	Cppapp	Cpppaa	Cpppap	Cppppa	Cppppp	Daaa	Daap	Dapa	Dapp	Dpaa	Dpap	Dppa	Dppp
ABprpppaap																																																																																																																																																																																										1.0																																																																																																																																																																																		
ABprpppapa																																																																																																																																																																																											1.0																																																																																																																																																																																	
ABprpppapp																																																																																																																																																																																												1.0																																																																																																																																																																																
ABprppppaa																																																																																																																																																																																													1.0																																																																																																																																																																															
ABprppppap																																																																																																																																																																																																																																																																																																																																																																												
ABprpppppa																																																																																																																																																																																																																																																																																																																																																																												
ABprpppppp																																																																																																																																																																																																1.0																																																																																																																																																																												
MSaaaaaa																																																																																																																																																																																																																																																																																																																																																																												
MSaaaaap																																																																																																																																																																																																																																																																																												1.0																																																																																
MSaaaapa																																																																																																																																																																																																																																																																																																																																																																												
MSaaaapp																																																																																																																																																																																																																																																																																																																																																																												
MSaaapaa																																																																																																																																																																																																																																																																																																																																																																												
MSaaapap																																																																																																																																																																																																																																																																																																																																																																												
MSaaapp																																																																																																																																																																																																																																																																																																																																																																												
MSaapaaa																																																																																																																																																																																																																																																																																																		1.0																																																																										
MSaapaap																																																																																																																																																																																																																																																																																																			1.0																																																																									
MSaapapa																																																																																																																																																																																																																																																																																																				1.0																																																																								
MSaapapp																																																																																																																																																																																																																																																																																																					1.0																																																																							
MSaappa																																																																																																																																																																																																																																																																																																																																																																												
MSaappp																																																																																																																																																																																																																																																																																																							1.0																																																																					
MSapaaaa																																																																																																																																																																																																																																																																																																								1.0																																																																				
MSapaaap																																																																																																																																																																																																																																																																																																									1.0																																																																			
MSapaap																																																																																																																																																																																																																																																																																																																																																																												
MSapapaa																																																																																																																																																																																																																																																																																																												1.0																																																																
MSapapap																																																																																																																																																																																																																																																																																																													1.0																																																															
MSapappa																																																																																																																																																																																																																																																																																																														1.0																																																														
MSapappp																																																																																																																																																																																																																																																																																																															1.0																																																													
MSappaaa																																																																																																																																																																																																																																																																																																																																																																												
MSappaap																																																																																																																																																																																																																																																																																																																																																																												
MSappap																																																																																																																																																																																																																																																																																																																	1.0																																																											
MSapppaa																																																																																																																																																																																																																																																																																																																		1.0																																																										
MSapppap																																																																																																																																																																																																																																																																																																																			1.0																																																									
MSapppp																																																																																																																																																																																																																																																																																																																																																																												
MSpaaaaa																																																																																																																																																																																																																																																																																																																																																																												
MSpaaaap																																																																																																																																																																																																																																																																		1.0																																																																																																										
MSpaaapa																																																																																																																																																																																																																																																																																																																																																																												
MSpaaapp																																																																																																																																																																																																																																																																																																																																																																												
MSpaapaa																																																																																																																																																																																																																																																																																																																																																																												
MSpaapap																																																																																																																																																																																																																																																																																																																																																																												
MSpaapp																																																																																																																																																																																																																																																																																																																																																																												
MSpapaaa																																																																																																																																																																																																																																																																								1.0																																																																																																				
MSpapaap																																																																																																																																																																																																																																																																									1.0																																																																																																			
MSpapapa																																																																																																																																																																																																																																																																										1.0																																																																																																		
MSpapapp																																																																																																																																																																																																																																																																											1.0																																																																																																	
MSpappa																																																																																																																																																																																																																																																																																																																																																																												
MSpappp																																																																																																																																																																																																																																																																													1.0																																																																																															
MSppaaaa																																																																																																																																																																																																																																																																														1.0																																																																																														
MSppaaap																																																																																																																																																																																																																																																																															1.0																																																																																													
MSppaapa																																																																																																																																																																																																																																																																																																																																																																												
MSppaapp																																																																																																																																																																																																																																																																																																																																																																												
MSppapaa																																																																																																																																																																																																																																																																																	1.0																																																																																											
MSppapap																																																																																																																																																																																																																																																																																		1.0																																																																																										
MSppappa																																																																																																																																																																																																																																																																																			1.0																																																																																									
MSppappp																																																																																																																																																																																																																																																																																				1.0																																																																																								
MSpppaa																																																																																																																																																																																																																																																																																																																																																																												
MSpppap																																																																																																																																																																																																																																																																																							1.0																																																																																					
MSppppaa																																																																																																																																																																																																																																																																																								1.0																																																																																				
MSppppap																																																																																																																																																																																																																																																																																									1.0																																																																																			
MSpppppa																																																																																																																																																																																																																																																																																																																																																																												
MSpppppp																																																																																																																																																																																																																																																																																																																																																																												
Ealaa																																																																																																																																																																																																																																																																																																																										1.0																																																		
Ealap																																																																																																																																																																																																																																																																																																																											1.0																																																	
Ealpa																																																																																																																																																																																																																																																																																																																												1.0																																																
Ealpp																																																																																																																																																																																																																																																																																																																													1.0																																															
Earaa																																																																																																																																																																																																																																																																																																																						1.0																																																						
Earap																																																																																																																																																																																																																																																																																																																							1.0																																																					
Earpa																																																																																																																																																																																																																																																																																																																								1.0																																																				
Earpp																																																																																																																																																																																																																																																																																																																									1.0																																																			
Eplaa																																																																																																																																																																																																																																																																																																																																		1.0																																										
Eplap																																																																																																																																																																																																																																																																																																																																			1.0																																									
Eplpa																																																																																																																																																																																																																																																																																																																																				1.0																																								
Eplpp																																																																																																																																																																																																																																																																																																																																					1.0																																							
Epraa																																																																																																																																																																																																																																																																																																																														1.0																																														
Eprap																																																																																																																																																																																																																																																																																																																															1.0																																													
Eprpa																																																																																																																																																																																																																																																																																																																																1.0																																												
Eprpp																																																																																																																																																																																																																																																																																																																																	1.0																																											
Caaaaa																																																																																																																																																																																																																																																																																																																																																					1.0																							
Caaaap																																																																																																																																																																																																																																																																																																																																																						1.0																						
Caaapa																																																																																																																																																																																																																																																																																																																																																							1.0																					
Caaapp																																																																																																																																																																																																																																																																																																																																																								1.0																				
Caapa																																																																																																																																																																																																																																																																																																																																																																												
Caappd																																																																																																																																																																																																																																																																																																																																																											1.0																	
Caappv																																																																																																																																																																																																																																																																																																																																																												1.0																
Capaaa																																																																																																																																																																																																																																																																																																																																																													1.0															
Capaap																																																																																																																																																																																																																																																																																																																																																														1.0														
Capapa																																																																																																																																																																																																																																																																																																																																																															1.0													
Capapp																																																																																																																																																																																																																																																																																																																																																																1.0												
Cappaa																																																																																																																																																																																																																																																																																																																																																																	1.0											
Cappap																																																																																																																																																																																																																																																																																																																																																																		1.0										
Capppa																																																																																																																																																																																																																																																																																																																																																																			1.0									
Capppp																																																																																																																																																																																																																																																																																																																																																																				1.0								
Cpaaaa																																																																																																																																																																																																																																																																																																																																						1.0																																						
Cpaaap																																																																																																																																																																																																																																																																																																																																							1.0																																					
Cpaapa																																																																																																																																																																																																																																																																																																																																								1.0																																				
Cpaapp																																																																																																																																																																																																																																																																																																																																									1.0																																			
Cpapaa																																																																																																																																																																																																																																																																																																																																																																												
Cpapap																																																																																																																																																																																																																																																																																																																																																																												
Cpappd																																																																																																																																																																																																																																																																																																																																											1.0																																	
Cpappv																																																																																																																																																																																																																																																																																																																																												1.0																																
Cppaaa																																																																																																																																																																																																																																																																																																																																													1.0																															
Cppaap																																																																																																																																																																																																																																																																																																																																														1.0																														
Cppapa																																																																																																																																																																																																																																																																																																																																															1.0																													
Cppapp																																																																																																																																																																																																																																																																																																																																																1.0																												
Cpppaa																																																																																																																																																																																																																																																																																																																																																	1.0																											
Cpppap																																																																																																																																																																																																																																																																																																																																																		1.0																										
Cppppa																																																																																																																																																																																																																																																																																																																																																			1.0																									
Cppppp																																																																																																																																																																																																																																																																																																																																																				1.0																								
Daaa																																																																																																																																																																																																																																																																																																																																																																									1.0			
Daap																																																																																																																																																																																																																																																																																																																																																																										1.0		
Dapa																																																																																																																																																																																																																																																																																																																																																																											1.0	
Dapp																																																																																																																																																																																																																																																																																																																																																																												1.0
Dpaa																																																																																																																																																																																																																																																																																																																																																																					1.0							
Dpap																																																																																																																																																																																																																																																																																																																																																																						1.0						
Dppa																																																																																																																																																																																																																																																																																																																																																																							1.0					
Dppp																																																																																																																																																																																																																																																																																																																																																																								1.0				
